article_id,product_type_name,graphical_appearance_no,product_code,prod_name,product_type_no,product_group_name,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
743905001,Trousers,1010016,743905,TVP TORSTEN TROUSER,272,Garment Lower body,Solid,22,Yellow,7,Medium,8,Yellow,6545,Baby Boy Jersey Fancy,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1005,Jersey Fancy,"Trousers in soft cotton sweatshirt fabric with an elasticated drawstring waist, side pockets and elasticated hems."
568597018,Trousers,1010006,568597,Hayes,272,Garment Lower body,Dot,73,Dark Blue,4,Dark,2,Blue,1717,Trouser,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1009,Trousers,"Suit trousers in a stretch weave with a regular waist, zip fly and concealed hook-and-eye fastening. Side pockets and tapered legs with creases."
590227001,Trousers,1010002,590227,Vintage HW celeste deco,272,Garment Lower body,Application/3D,9,Black,4,Dark,5,Black,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"5-pocket ankle-length jeans in washed denim with sparkly stones in a loose fit. High waist, low crotch and button fly."
656719009,Trousers,1010004,656719,Serpente HW slim trouser,272,Garment Lower body,Check,10,White,3,Light,9,White,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Tailored trousers in a stretch weave with two press-studs at the waist and a zip fly. Zipped front pockets, fake welt back pockets and slim, straight legs."
765734002,Trousers,1010016,765734,NORMA RW CROPPED CONSCIOUS+,272,Garment Lower body,Solid,9,Black,4,Dark,5,Black,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,"Lightweight, 3/4-length sports trousers in fast-drying functional fabric with a regular elasticated waist, side pockets and tapered legs with ribbed hems. The polyester content of the trousers is recycled."
710877001,Trousers,1010016,710877,Heath slim chinos,272,Garment Lower body,Solid,9,Black,4,Dark,5,Black,5656,Trouser,F,Menswear,3,Menswear,21,Contemporary Casual,1009,Trousers,"Chinos in washed cotton twill with a zip fly, side pockets and welt back pockets. Slim fit which is relaxed over the thighs and tapers from the knees down for a relaxed, well-tailored look."
898596002,Trousers,1010023,898596,Skinny Ankle RW Brooklyn,272,Garment Lower body,Denim,10,White,3,Light,9,White,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Jeans in washed, stretch denim with a regular waist and zip fly and button. Fake front pockets, real back pockets and skinny legs."
666606001,Trousers,1010018,666606,Kevin sweatpants,272,Garment Lower body,Treatment,9,Black,4,Dark,5,Black,8748,Young Boy Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1005,Jersey Fancy,"Joggers in sweatshirt fabric with a washed look. Elasticated drawstring waist, fake fly, side pockets, one back pocket, decorative stitching on the legs and ribbed hems."
564999001,Trousers,1010010,564999,Drake sweatpants,272,Garment Lower body,Melange,7,Grey,1,Dusty Light,12,Grey,8748,Young Boy Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1005,Jersey Fancy,"Joggers in sweatshirt fabric with an elasticated drawstring waist, side pockets and tapered legs with ribbed hems. Soft brushed inside."
796971001,Trousers,1010016,796971,Capsule Cord Trouser w Braces,272,Garment Lower body,Solid,73,Dark Blue,4,Dark,2,Blue,7848,Boys Local Relevance,H,Children Sizes 92-140,4,Baby/Children,48,Kids Local Relevance,1023,Special Offers,"Trousers in soft, organic cotton corduroy with an adjustable, elasticated waist, zip fly and button, side pockets and welt back pockets with a button. Detachable, adjustable elastic braces."
882882005,Trousers,1010023,882882,Push Up Jeggings LW,272,Garment Lower body,Denim,9,Black,4,Dark,5,Black,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"Jeggings in superstretch denim with a low waist, zip fly and button, and back pockets. The cotton content of the jeggings is partly recycled. Push up – denim with a superstretch function that showcases the body’s physique."
491913001,Trousers,1010016,491913,Heath,272,Garment Lower body,Solid,9,Black,4,Dark,5,Black,5656,Trouser,F,Menswear,3,Menswear,21,Contemporary Casual,1009,Trousers,"Chinos in soft, washed cotton twill with a zip fly, side pockets and welt back pockets. Slim fit which is relaxed over the thighs and tapers from the knees down for a relaxed, well-tailored look."
835376002,Trousers,1010016,835376,MAJA fancy shorts,272,Garment Lower body,Solid,73,Dark Blue,4,Dark,2,Blue,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Shorts in lightweight organic cotton sweatshirt fabric with an elasticated, drawstring waist and stripes down the sides in a contrasting colour."
700935001,Trousers,1010018,700935,Booty Jean RW Denim,272,Garment Lower body,Treatment,8,Dark Grey,4,Dark,12,Grey,1649,Trousers DS,D,Divided,2,Divided,58,Divided Selected,1009,Trousers,"High-waisted jeans in washed, stretch denim with a zip fly and button, curved seams at the back, front and back pockets and skinny legs."
871889005,Trousers,1010023,871889,Cali HW wide leg dnm trs,272,Garment Lower body,Denim,71,Light Blue,1,Dusty Light,2,Blue,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"5-pocket jeans in washed cotton denim with a high waist, zip fly and button and wide, straight legs."
562256004,Trousers,1010016,562256,Bow paperwaist,272,Garment Lower body,Solid,23,Dark Yellow,4,Dark,8,Yellow,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Trousers in a stretch weave with a high, paper bag waist with pleats and a detachable tie belt. Zip fly with concealed hook-and-eye fasteners, side pockets and straight-cut legs that taper to the hem."
825107001,Trousers,1010023,825107,Tapered Midprice(1),272,Garment Lower body,Denim,71,Light Blue,1,Dusty Light,2,Blue,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,"5-pocket jeans in washed, stretch cotton denim with a regular waist, zip fly and button, low crotch and tapered legs. The cotton content of the jeans is partly recycled."
697495002,Trousers,1010016,697495,PE ANNE WIDE DENIM 2,272,Garment Lower body,Solid,73,Dark Blue,2,Medium Dusty,2,Blue,3080,Take Care External,A,Ladieswear,1,Ladieswear,97,Collaborations,1001,Unknown,"5-pocket jeans in washed denim with a regular waist, zip fly and button and wide legs."
562245098,Trousers,1010023,562245,Luna skinny RW,272,Garment Lower body,Denim,71,Light Blue,1,Dusty Light,2,Blue,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs."
608338002,Trousers,1010023,608338,Chino Knit Patch pocket,272,Garment Lower body,Denim,72,Blue,2,Medium Dusty,2,Blue,7956,Kids Boy Denim,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1016,Trousers Denim,"Pull-on jeans in supersoft, superstretch denim with a drawstring waist, zip fly and press-stud and slim legs with flap leg pockets."
564541001,Trousers,1010023,564541,Turpin denim Top Product,272,Garment Lower body,Denim,72,Blue,2,Medium Dusty,2,Blue,6565,Baby Boy Woven,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1006,Woven/Jersey/Knitted mix Baby,"Jeans in washed stretch denim with matching braces. Concealed, adjustable elastication at the waist, press-stud fly, front and back pockets and patches on the legs. Elasticated braces with immitation leather appliqués."
643974005,Trousers,1010023,643974,Ezra SKINNY,272,Garment Lower body,Denim,72,Blue,2,Medium Dusty,2,Blue,6565,Baby Boy Woven,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1006,Woven/Jersey/Knitted mix Baby,"5-pocket jeans in soft, washed stretch denim with worn details, an adjustable elasticated waist, zip fly and press-stud, and slim legs with narrow hems."
573716072,Trousers,1010001,573716,Kanta slacks RW,272,Garment Lower body,All over pattern,8,Dark Grey,4,Dark,12,Grey,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a regular waist, concealed zip in one side, fake back pockets and tapered legs with slits at the hems."
737948003,Trousers,1010016,737948,Dannie slacks,272,Garment Lower body,Solid,19,Greenish Khaki,1,Dusty Light,20,Khaki green,8717,Young Girl Trouser,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1009,Trousers,"Cigarette trousers in a viscose weave with a regular waist with that is elasticated at the back, side pockets and tapered legs with grosgrain side stripes."
611644001,Trousers,1010001,611644,Ally trousers,272,Garment Lower body,All over pattern,1,Other,6,Undefined,14,undefined,1743,Projects Woven Bottoms,D,Divided,2,Divided,50,Divided Projects,1009,Trousers,"Wide trousers in a patterned, softly draping weave with a high elasticated waist and side pockets."
805923009,Trousers,1010005,805923,SUPREME FANCY tights,272,Garment Lower body,Colour blocking,8,Dark Grey,4,Dark,12,Grey,6281,Bottoms Girls,S,Sport,26,Sport,49,Kids Sports,1001,Unknown,Sports tights in fast-drying functional fabric with a wide waistband.
885827002,Trousers,1010016,885827,Chaplin hw tapered trousers,272,Garment Lower body,Solid,10,White,3,Light,9,White,1941,Blouse & Dress,A,Ladieswear,1,Ladieswear,18,Womens Trend,1010,Blouses,"Wide trousers in twill made from a Tencel™ lyocell and linen blend with a high waist and pleats at the top. Zip fly with concealed hook-and-eye fasteners, side pockets, welt back pockets and tapered legs."
498738015,Trousers,1010005,498738,SUPREME FANCY TIGHTS,272,Garment Lower body,Colour blocking,50,Other Pink,5,Bright,4,Pink,6280,Tops Girls,S,Sport,26,Sport,49,Kids Sports,1001,Unknown,Printed sports tights in fast-drying functional fabric with ribbing at the waist.
411758014,Trousers,1010016,411758,Jonas slim 5 pkt,272,Garment Lower body,Solid,8,Dark Grey,4,Dark,5,Black,5686,Trouser,F,Menswear,3,Menswear,20,Contemporary Smart,1009,Trousers,5-pocket trousers in stretch cotton twill with a regular waist and slim legs.
752814004,Trousers,1010004,752814,Milk RW slack,272,Garment Lower body,Check,17,Yellowish Brown,4,Dark,13,Brown,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Cigarette trousers in stretch twill with a regular, elasticated waist, fake fly, diagonal side pockets, fake welt back pockets and ankle-length legs with creases."
772373003,Trousers,1010023,772373,SKINNY CHEAPO FANCY,272,Garment Lower body,Denim,9,Black,4,Dark,5,Black,7956,Kids Boy Denim,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1016,Trousers Denim,"Slim-fit jeans in washed, stretch denim with an adjustable elasticated waist, zip fly and button, front and back pockets, and narrow hems."
611134001,Trousers,1010017,611134,Odyssey,272,Garment Lower body,Stripe,73,Dark Blue,4,Dark,2,Blue,1717,Trouser,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1009,Trousers,"Sleeveless, ankle-length jumpsuit in a crêpe weave with a wrapover V-neck with a concealed press-stud at the top. Concealed zip at the back, side pockets, fake welt back pockets, a detachable tie belt at the waist and tapered legs with creases."
690108004,Trousers,1010023,690108,Straight 5pkt Lowprice,272,Garment Lower body,Denim,9,Black,4,Dark,5,Black,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,"5-pocket jeans in washed denim with a regular waist, button fly and straight legs."
534357002,Trousers,1010023,534357,Boyfriend L.W FEL,272,Garment Lower body,Denim,71,Light Blue,1,Dusty Light,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket low-rise jeans in washed denim with hard-worn details, a button fly and slightly wider, tapered legs."
876204006,Trousers,1010001,876204,Pernilla fancy denim,272,Garment Lower body,All over pattern,9,Black,4,Dark,5,Black,6555,Baby Girl Woven,G,Baby Sizes 50-98,4,Baby/Children,40,Baby Girl,1006,Woven/Jersey/Knitted mix Baby,"Slim-fit jeans in soft stretch denim with an adjustable, elasticated waist, fake fly, fake front pockets, and narrow hems."
903211001,Trousers,1010010,903211,Vermont essential Petite slack,272,Garment Lower body,Melange,12,Light Beige,1,Dusty Light,11,Beige,1717,Trouser,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1009,Trousers,"Ankle-length trousers in a slightly stretchy weave made from a viscose blend. Regular waist, zip fly with concealed hook-and-eye fasteners, side pockets, fake welt back pockets and tapered legs with creases."
624692004,Trousers,1010023,624692,TVP Rhodes denim,272,Garment Lower body,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,6565,Baby Boy Woven,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1006,Woven/Jersey/Knitted mix Baby,"5-pocket jeans in washed denim with worn details, an adjustable elasticated waist with a press-stud, fake front pockets and real back pockets. Detachable elastic braces."
863853001,Trousers,1010023,863853,SKINNY LINED 79,272,Garment Lower body,Denim,9,Black,4,Dark,5,Black,7917,Kids Girl Denim,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1016,Trousers Denim,"Fully lined, slim-fit jeans in washed, stretch denim with an adjustable, elasticated waist, zip fly, fake front pockets, real back pockets and narrow hems."
449897040,Trousers,1010023,449897,Slim 5pkt,272,Garment Lower body,Denim,9,Black,4,Dark,5,Black,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,"5-pocket jeans in washed stretch denim with a regular waist, button fly and slim legs."
715606003,Trousers,1010005,715606,SUPREME tights OL,272,Garment Lower body,Colour blocking,9,Black,4,Dark,5,Black,8310,Ladies Sport Bottoms,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Sports tights in fast-drying functional fabric with wide ribbing to hold in and shape the waist. Concealed key pocket in the waistband.
573716005,Trousers,1010016,573716,Kanta slacks RW,272,Garment Lower body,Solid,10,White,3,Light,9,White,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length cigarette trousers in a stretch weave with a regular waist, concealed zip in one side, fake back pockets and tapered legs with slits at the hems."
744529001,Trousers,1010016,744529,ED Filippa wide cropped,272,Garment Lower body,Solid,13,Beige,1,Dusty Light,1,Mole,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"Wide, ankle-length trousers woven in a linen blend with a high waist, tie belt, zip fly with a hook-and-eye fastening, and side pockets."
715427001,Trousers,1010001,715427,Haylee Pull-on 2pack,272,Garment Lower body,All over pattern,73,Dark Blue,4,Dark,2,Blue,7617,Kids Girl Trouser,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1009,Trousers,"Pull-on trousers in a patterned cotton weave with an elasticated drawstring waist, side pockets and elasticated hems."
775624002,Trousers,1010023,775624,Embrace Flare H.W,272,Garment Lower body,Denim,9,Black,4,Dark,5,Black,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket jeans in washed, stretch denim a high waist, zip fly and button and wide, flared legs. Embrace – denim with a smart stretch function that moulds to the body for a comfortable, flattering silhouette."
815669002,Trousers,1010023,815669,RELAXED HW 89,272,Garment Lower body,Denim,72,Blue,2,Medium Dusty,2,Blue,8917,Young Girl Denim,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1016,Trousers Denim,"High-waisted, 5-pocket jeans in washed stretch denim with hard-worn details in a relaxed fit with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button and tapered legs."
586518006,Trousers,1010023,586518,Boyfriend,272,Garment Lower body,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,2031,Woven bottoms,A,Ladieswear,1,Ladieswear,8,Mama,1009,Trousers,"Jeans in washed denim with hard-worn details, a fake fly, front and back pockets and slightly wider, tapered legs. Wide jersey ribbing at the waist for best fit."
872628001,Trousers,1010016,872628,ED Tiara HW trs,272,Garment Lower body,Solid,9,Black,4,Dark,5,Black,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"Cropped trousers in woven fabric. High waist with covered elastication and a small frill trim, pockets in the side seams and straight, wide legs."
838726006,Trousers,1010016,838726,Jade HW Skinny Belt Denim TRS,272,Garment Lower body,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"High-waisted jeans in stretch denim with a zip fly and button and detachable belt with a large, covered buckle. Fake front pockets, real back pockets and skinny legs."
549253007,Trousers,1010023,549253,Skinny RW denim,272,Garment Lower body,Denim,72,Blue,2,Medium Dusty,2,Blue,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"5-pocket jeans in superstretch denim with a regular waist, zip fly and button, and skinny legs."
684325001,Trousers,1010023,684325,Skinny H.W Ankle Smith,272,Garment Lower body,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket ankle-length jeans in washed stretch denim with a high waist, zip fly and button, and skinny legs with visible seams at the front and slits at the hems."
837811001,Trousers,1010016,837811,Vicky HW Denim Culotte,272,Garment Lower body,Solid,72,Blue,5,Bright,2,Blue,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"Ankle-length culottes in cotton denim. High, frill-trimmed paper bag waist with covered elastication and a detachable tie belt. Pockets in the side seams and wide, straight legs."
575524001,Trousers,1010010,575524,CAVALIER joggers,272,Garment Lower body,Melange,73,Dark Blue,7,Medium,2,Blue,7648,Kids Boy Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1005,Jersey Fancy,"Joggers in sweatshirt fabric with an elasticated drawstring waist, zipped side pockets and a welted back pocket. Seams at the knees and ribbed hems."
694515001,Trousers,1010010,694515,Natalia Cropped Basic,272,Garment Lower body,Melange,8,Dark Grey,4,Dark,12,Grey,6280,Tops Girls,S,Sport,26,Sport,49,Kids Sports,1001,Unknown,3/4-length sports tights in fast-drying functional fabric with an elasticated waist.
599218001,Trousers,1010023,599218,Caulifower 2 pkt denim jogg,272,Garment Lower body,Denim,72,Blue,2,Medium Dusty,2,Blue,6565,Baby Boy Woven,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1006,Woven/Jersey/Knitted mix Baby,"Joggers in soft, stretch cotton twill with an elasticated drawstring waist, fake front pockets, a fake fly and elasticated hems."
573097001,Trousers,1010023,573097,Sheild Denim,272,Garment Lower body,Denim,72,Blue,2,Medium Dusty,2,Blue,5683,Trouser,F,Menswear,3,Menswear,55,Contemporary Street,1009,Trousers,"5-pocket jeans in washed stretch denim with worn details. Regular waist, button fly, and skinny legs with quilted sections and decorative zips on the front."
700124001,Trousers,1010016,700124,Swan HW Trousers,272,Garment Lower body,Solid,9,Black,4,Dark,5,Black,1649,Trousers DS,D,Divided,2,Divided,58,Divided Selected,1009,Trousers,"Twill trousers with a high waist, concealed hook-and-eye fastener and zip fly. Side pockets, welt back pockets and straight legs with slits at the hems for a gently flared effect."
586775002,Trousers,1010016,586775,Blane trousers,272,Garment Lower body,Solid,33,Dark Orange,2,Medium Dusty,13,Brown,1641,Jersey,A,Ladieswear,1,Ladieswear,18,Womens Trend,1005,Jersey Fancy,"High-waisted trousers in sturdy jersey in a narrow cut at the top with pleats, a zip fly with a hook-and-eye fastener, and wide, super-flared legs."
860867002,Trousers,1010016,860867,Brody trs,272,Garment Lower body,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,1641,Jersey,A,Ladieswear,1,Ladieswear,18,Womens Trend,1005,Jersey Fancy,"Trousers in jersey with a high waist, concealed zip in one side and straight, wide legs with sewn-in creases at the front and slits in the sides."
657661002,Trousers,1010016,657661,LOGG Deluca pullon,272,Garment Lower body,Solid,43,Dark Red,4,Dark,18,Red,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"Joggers in soft twill with a regular, elasticated drawstring waist, side pockets, fake back pockets and tapered legs."
696209005,Trousers,1010016,696209,Ciara wide cropped HW,272,Garment Lower body,Solid,33,Dark Orange,2,Medium Dusty,13,Brown,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length pull on-trousers in woven fabric. High waist with wide elastication and a small frill trim at the top, side pockets and straight, wide legs."
882900013,Trousers,1010023,882900,Embrace S.Skinny Ankle HW,272,Garment Lower body,Denim,9,Black,4,Dark,5,Black,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket, ankle-length jeans in washed, stretch denim with a high waist, zip fly and button and super-skinny legs. The cotton content of the jeans is partly recycled. Embrace – denim with a smart stretch function that moulds to the body for a comfortable, flattering silhouette."
897655002,Trousers,1010010,897655,Croydon coolmax jogger new,272,Garment Lower body,Melange,14,Dark Beige,4,Dark,11,Beige,5686,Trouser,F,Menswear,3,Menswear,20,Contemporary Smart,1009,Trousers,"Joggers in woven fabric with elastication and a concealed drawstring at the waist, a fake fly, zipped side pockets and jetted back pockets. Legs with creases and sewn-in turn-ups at the hems. The joggers incorporate COOLMAX® functional fabric, a unique, soft, comfortable and fast-drying polyester fibre that efficiently wicks moisture while regulating temperature. Slim Fit – a fit that is close-fitting at the thighs, knees and ankles to create a fitted silhouette."
416511021,Trousers,1010016,416511,Julia Denim Petite Trs,272,Garment Lower body,Solid,71,Light Blue,3,Light,2,Blue,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"5-pocket jeans in washed stretch denim with a regular waist, zip fly and button, and super-skinny legs."
900237002,Trousers,1010023,900237,Vintage Straight HW Petite,272,Garment Lower body,Denim,9,Black,4,Dark,5,Black,1774,OL Extended Sizes,A,Ladieswear,1,Ladieswear,57,Ladies Denim,1016,Trousers Denim,"5-pocket, ankle-length jeans in washed, stretch cotton denim with hard-worn details. Extra-high waist, a button fly and straight legs. The cotton content of the jeans is partly recycled."
639208003,Trousers,1010016,639208,Brian cargo trousers,272,Garment Lower body,Solid,73,Dark Blue,4,Dark,2,Blue,8756,Young Boy Trouser,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1009,Trousers,"Fully lined cargo trousers in soft, washed cotton twill with an adjustable elasticated waist and zip fly and button. Flap front, back and leg pockets with a hook and loop fastening, and shaped, tapered legs. Jersey lining."
552541001,Trousers,1010023,552541,Slim cranes embroidery,272,Garment Lower body,Denim,72,Blue,1,Dusty Light,2,Blue,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"5-pocket ankle-length jeans in soft stretch denim with hard-worn details. Slim fit with embroidery, a regular waist and zip fly."
